"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_invited_at"
"1412","1899","20_20",5,0,"{""source"":[]}","{""tribes"":[[1859,1873,1899],[1913,1899,1855],[1915,1916,1899],[1943,1944,1899],[1946,1933,1899]],""tribes_score"":[497.57117087388815,436.9521167568273,475.89745022913087,307.4823316071954,456.6482326860599],""highlights_count"":[145,27,96,8,129],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20,20.0,20.0,20.0,20.0]}","2019-07-08 15:58:50.337175"
"1384","1895","0_5",4,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891],[1904,1895,1903],[1906,1904,1895],[1911,1895,1861]],""tribes_score"":[464.2055130748919,449.68810893359887,453.01620564220207,492.4587187114688],""highlights_count"":[34,38,26,52],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-5,0.0,0.0,0.0]}","2019-07-08 15:58:50.337175"
"1385","1891","0_5",2,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891],[1864,1891,1861]],""tribes_score"":[464.2055130748919,411.1523851904027],""highlights_count"":[34,112],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-5,0.0]}","2019-07-08 15:58:50.337175"
"1390","1895","20_20",3,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891],[1904,1895,1903],[1911,1895,1861]],""tribes_score"":[464.2055130748919,449.68810893359887,492.4587187114688],""highlights_count"":[34,38,52],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20,20.0,20.0]}","2019-07-08 15:58:50.337175"
"1394","1895","20_30",3,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891],[1904,1895,1903],[1911,1895,1861]],""tribes_score"":[464.2055130748919,449.68810893359887,492.4587187114688],""highlights_count"":[34,38,52],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-30,20.0,20.0]}","2019-07-08 15:58:50.337175"
"1349","1889","0",3,0,"{""source"":[]}","{""tribes"":[[1853,1886,1889],[1859,1873,1889],[1873,1889,1859]],""tribes_score"":[526.43639842212,508.9887604774335,526.3342534601757],""highlights_count"":[65,301,301],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[0,0.0,0.0]}","2019-07-08 15:58:50.337175"
"1351","1889","10",3,0,"{""source"":[]}","{""tribes"":[[1853,1886,1889],[1859,1873,1889],[1873,1889,1859]],""tribes_score"":[526.43639842212,508.9887604774335,526.3342534601757],""highlights_count"":[65,301,301],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[0,10.0,10.0]}","2019-07-08 15:58:50.337175"
"1386","1895","20_5",3,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891],[1868,1861,1895],[1911,1895,1914]],""tribes_score"":[464.2055130748919,439.76199603106625,472.0654191644876],""highlights_count"":[34,65,45],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-5,20.0,20.0]}","2019-07-08 15:58:50.337175"
"1415","1873","20_30",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1899]],""tribes_score"":[497.57117087388815],""highlights_count"":[145],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-30]}","2019-07-08 15:58:50.337175"
"1421","1892","20",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1423","1892","30",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1425","1892","40",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1426","1860","40",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1427","1892","50",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1428","1860","50",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1431","1892","20_5",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-5]}","2019-07-08 15:58:50.337175"
"1433","1892","0_20",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20]}","2019-07-08 15:58:50.337175"
"1435","1892","20_20",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20]}","2019-07-08 15:58:50.337175"
"1436","1860","20_20",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20]}","2019-07-08 15:58:50.337175"
"1437","1892","0_30",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-30]}","2019-07-08 15:58:50.337175"
"1439","1892","20_30",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-30]}","2019-07-08 15:58:50.337175"
"1440","1860","20_30",1,0,"{""source"":[]}","{""tribes"":[[1852,1892,1860]],""tribes_score"":[365.3827180579287],""highlights_count"":[74],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-30]}","2019-07-08 15:58:50.337175"
"1444","1863","10",3,0,"{""source"":[]}","{""tribes"":[[1857,1899,1863],[1908,1904,1863],[1932,1916,1863]],""tribes_score"":[471.3065487725749,465.559095924755,522.3769193512809],""highlights_count"":[59,129,150],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[0,10.0,10.0]}","2019-07-08 15:58:50.337175"
