"id","user_id","matches","potential_matches","last_matched_at"
"403","953",2,576,"2019-06-27 18:39:13.445852"
"411","957",0,576,NULL
"543","1052",1,559,"2019-06-27 18:04:26.143808"
"430","1581",1,577,"2019-06-27 18:56:23.406082"
"334","1134",0,559,NULL
"490","1267",0,539,NULL
"528","1282",3,576,"2019-06-27 19:38:07.421427"
"418","1180",0,576,NULL
"507","1002",0,576,NULL
"557","1411",0,577,NULL
"552","950",0,576,NULL
"634","718",6,576,"2019-06-27 19:47:54.366571"
"676","1598",6,577,"2019-06-27 19:25:13.240354"
"668","1468",0,521,NULL
"318","1023",0,546,NULL
"602","1132",1,576,"2019-06-27 18:00:11.099119"
"559","1195",1,547,"2019-06-27 18:43:59.937755"
"375","745",0,542,NULL
"658","1381",4,577,"2019-06-27 19:40:39.902479"
"693","1209",0,576,NULL
"613","1421",0,560,NULL
"656","898",1,576,"2019-06-27 18:36:59.894474"
"609","734",0,576,NULL
"621","902",1,576,"2019-06-27 19:43:30.090194"
"551","1595",2,560,"2019-06-27 19:35:23.321529"
"284","1031",2,558,"2019-06-27 18:24:40.730839"
"229","788",0,561,NULL
"603","1328",2,577,"2019-06-27 19:07:35.117574"
"561","1164",1,576,"2019-06-27 19:27:33.25777"
"663","1051",0,576,NULL
"633","1019",3,576,"2019-06-27 19:29:44.437724"
"637","1260",5,576,"2019-06-27 19:26:16.618494"
"651","1018",2,576,"2019-06-27 19:47:43.932275"
"596","823",0,576,NULL
"618","1634",0,577,NULL
"607","870",1,576,"2019-06-27 18:10:13.193521"
"599","1235",2,576,"2019-06-27 19:27:42.569125"
"238","796",0,577,NULL
"698","765",0,576,NULL
"574","975",0,576,NULL
"695","1194",0,547,NULL
"629","1112",0,576,NULL
"244","1566",0,578,NULL
"98","1160",0,577,NULL
"610","713",1,571,"2019-06-27 19:11:05.14151"
"689","1229",0,576,NULL
"697","884",0,576,NULL
"606","1146",2,576,"2019-06-27 18:30:11.834711"
"591","1338",0,577,NULL
"584","1332",0,577,NULL
"578","995",0,576,NULL
"639","1000",0,576,NULL
"616","1417",0,577,NULL
"364","1040",1,533,"2019-06-27 19:24:42.802088"
"601","1126",1,576,"2019-06-27 19:28:49.077334"
"674","1238",0,576,NULL
"641","1337",0,577,NULL
"503","916",0,576,NULL
"623","759",1,559,"2019-06-27 18:28:23.679438"
"563","1151",0,576,NULL
"560","1690",0,577,NULL
"692","984",0,559,NULL
"615","1176",1,576,"2019-06-27 18:58:49.852912"
"579","1408",1,577,"2019-06-27 18:20:09.147754"
"643","1474",5,576,"2019-06-27 19:44:19.849508"
"667","863",0,576,NULL
"566","1103",0,576,NULL
"611","818",0,576,NULL
"570","720",1,561,"2019-06-27 19:23:11.089882"
"593","1577",0,577,NULL
"686","1172",0,576,NULL
"688","1463",0,576,NULL
"683","1054",0,576,NULL
"612","1448",0,576,NULL
"614","859",8,576,"2019-06-27 19:48:30.858298"
