"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_matched_at"
"854","1169","0_5",2,0,"{""source"":[]}","{""tribes"":[[749,1169,1116],[750,835,1169]],""tribes_score"":[543.9362792205013,528.5895204824205],""highlights_count"":[249,153],""times"":[1.77,1.8599999999999999],""penalties"":[-2.5,""0.0""]}","1.86"
"851","1196","31",2,0,"{""source"":[]}","{""tribes"":[[749,1203,1196],[770,966,1196]],""tribes_score"":[532.1636872851493,517.9754863500158],""highlights_count"":[103,108],""times"":[1.77,2.55],""penalties"":[0,""6.82""]}","2.55"
"853","1196","41",2,0,"{""source"":[]}","{""tribes"":[[749,1203,1196],[770,966,1196]],""tribes_score"":[532.1636872851493,517.9754863500158],""highlights_count"":[103,108],""times"":[1.77,2.55],""penalties"":[0,""9.02""]}","2.55"
"866","703","21",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[0]}","1.8"
"867","1413","31",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[0]}","1.8"
"868","703","31",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[0]}","1.8"
"869","1413","41",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[0]}","1.8"
"870","703","41",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[0]}","1.8"
"871","1413","0_5",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[-2.5]}","1.8"
"872","703","0_5",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[-2.5]}","1.8"
"873","1413","10_5",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[-2.5]}","1.8"
"874","703","10_5",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[-2.5]}","1.8"
"875","1413","0_20",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[-10.0]}","1.8"
"876","703","0_20",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[-10.0]}","1.8"
"877","1413","10_20",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[-10.0]}","1.8"
"878","703","10_20",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[-10.0]}","1.8"
"879","1545","1",1,0,"{""source"":[]}","{""tribes"":[[748,1545,1116]],""tribes_score"":[518.8731624618891],""highlights_count"":[70],""times"":[1.8299999999999998],""penalties"":[0]}","1.83"
"880","1545","11",1,0,"{""source"":[]}","{""tribes"":[[748,1545,835]],""tribes_score"":[514.5662542473856],""highlights_count"":[45],""times"":[1.8299999999999998],""penalties"":[0]}","1.83"
"881","1545","21",1,0,"{""source"":[]}","{""tribes"":[[748,1545,835]],""tribes_score"":[514.5662542473856],""highlights_count"":[45],""times"":[1.8299999999999998],""penalties"":[0]}","1.83"
"262","835","21",2,0,"{""source"":[]}","{""tribes"":[[712,1219,835],[748,1545,835]],""tribes_score"":[477.9161122061534,514.5662542473856],""highlights_count"":[203,45],""times"":[0.3,1.8299999999999998],""penalties"":[0,0]}","1.83"
"882","1545","31",1,0,"{""source"":[]}","{""tribes"":[[748,1545,835]],""tribes_score"":[514.5662542473856],""highlights_count"":[45],""times"":[1.8299999999999998],""penalties"":[0]}","1.83"
"883","1545","41",1,0,"{""source"":[]}","{""tribes"":[[748,1545,835]],""tribes_score"":[514.5662542473856],""highlights_count"":[45],""times"":[1.8299999999999998],""penalties"":[0]}","1.83"
"884","1545","0_5",1,0,"{""source"":[]}","{""tribes"":[[748,1545,1116]],""tribes_score"":[518.8731624618891],""highlights_count"":[70],""times"":[1.8299999999999998],""penalties"":[-2.5]}","1.83"
"885","1545","10_5",1,0,"{""source"":[]}","{""tribes"":[[748,1545,835]],""tribes_score"":[514.5662542473856],""highlights_count"":[45],""times"":[1.8299999999999998],""penalties"":[-2.5]}","1.83"
"270","835","10_5",2,0,"{""source"":[]}","{""tribes"":[[712,1219,835],[748,1545,835]],""tribes_score"":[477.9161122061534,514.5662542473856],""highlights_count"":[203,45],""times"":[0.3,1.8299999999999998],""penalties"":[-0.0,0]}","1.83"
"886","1545","0_20",1,0,"{""source"":[]}","{""tribes"":[[748,1545,1046]],""tribes_score"":[516.3363415128681],""highlights_count"":[59],""times"":[1.8299999999999998],""penalties"":[-10.0]}","1.83"
"887","1046","0_20",1,0,"{""source"":[]}","{""tribes"":[[748,1545,1046]],""tribes_score"":[516.3363415128681],""highlights_count"":[59],""times"":[1.8299999999999998],""penalties"":[-10.0]}","1.83"
"888","1545","10_20",1,0,"{""source"":[]}","{""tribes"":[[748,1545,1046]],""tribes_score"":[516.3363415128681],""highlights_count"":[59],""times"":[1.8299999999999998],""penalties"":[-10.0]}","1.83"
"889","1046","10_20",1,0,"{""source"":[]}","{""tribes"":[[748,1545,1046]],""tribes_score"":[516.3363415128681],""highlights_count"":[59],""times"":[1.8299999999999998],""penalties"":[-10.0]}","1.83"
"891","1349","11",1,0,"{""source"":[]}","{""tribes"":[[750,989,1349]],""tribes_score"":[530.8611028609223],""highlights_count"":[85],""times"":[1.8599999999999999],""penalties"":[0]}","1.86"
"893","1349","21",1,0,"{""source"":[]}","{""tribes"":[[750,989,1349]],""tribes_score"":[530.8611028609223],""highlights_count"":[85],""times"":[1.8599999999999999],""penalties"":[0]}","1.86"
"895","1349","31",1,0,"{""source"":[]}","{""tribes"":[[750,989,1349]],""tribes_score"":[530.8611028609223],""highlights_count"":[85],""times"":[1.8599999999999999],""penalties"":[0]}","1.86"
"890","989","11",2,0,"{""source"":[]}","{""tribes"":[[750,989,1349],[696,989,1049]],""tribes_score"":[530.8611028609223,567.4729047812474],""highlights_count"":[85,161],""times"":[1.8599999999999999,2.9699999999999998],""penalties"":[0,0]}","2.97"
"892","989","21",2,0,"{""source"":[]}","{""tribes"":[[750,989,1349],[696,989,1049]],""tribes_score"":[530.8611028609223,567.4729047812474],""highlights_count"":[85,161],""times"":[1.8599999999999999,2.9699999999999998],""penalties"":[0,0]}","2.97"
"894","989","31",2,0,"{""source"":[]}","{""tribes"":[[750,989,1349],[696,989,1049]],""tribes_score"":[530.8611028609223,567.4729047812474],""highlights_count"":[85,161],""times"":[1.8599999999999999,2.9699999999999998],""penalties"":[0,0]}","2.97"
"896","989","41",2,0,"{""source"":[]}","{""tribes"":[[750,989,1349],[696,989,1049]],""tribes_score"":[530.8611028609223,567.4729047812474],""highlights_count"":[85,161],""times"":[1.8599999999999999,2.9699999999999998],""penalties"":[0,0]}","2.97"
"897","1349","41",1,0,"{""source"":[]}","{""tribes"":[[750,989,1349]],""tribes_score"":[530.8611028609223],""highlights_count"":[85],""times"":[1.8599999999999999],""penalties"":[0]}","1.86"
"899","1349","10_5",1,0,"{""source"":[]}","{""tribes"":[[750,989,1349]],""tribes_score"":[530.8611028609223],""highlights_count"":[85],""times"":[1.8599999999999999],""penalties"":[-2.5]}","1.86"
